0               0 * .522
1               .522 ^ 0
2               0 + ((.2 / .2) / .5)
3               0 + (5 - (√(2 + 2)))
4               0 + ((√(2 + 2)) / .5)
5               0 + (.5 / (.2 / 2))
6               0 + (5 + (.2 / .2))
7               0 + (5 + (√(2 + 2)))
8               0 + ((2 + 2) / .5)
9               0 + (5 * (.2 - 2))
10              0 + (5 * (√(2 + 2)))
11              0 + (5 * 2.2)
12              0 + (.5 * ((2 + 2)!))
13              (0!) + (.5 * ((2 + 2)!))
14              0 + (2 * (2 + 5))
15              0 + (5 + (2 / .2))
16              0 + (2 ^ (2 / .5))
17              (0!) + (2 ^ (2 / .5))
18              (0!) + (5 - ((2 + 2)!))
19              0 + (5 - ((2 + 2)!))
20              0 + ((2 / .2) / .5)
21              (0!) + ((2 / .2) / .5)
22              0 + (2 - (.2 * (5!)))
23              0 + (2 - (5 / .2))
24              0 + ((5!) * (.2 % 2))
25              0 + (5 / (.2 % 2))
26              0 + (5.2 / .2)
27              0 + (2 + (5 / .2))
28              (0!) - (5 + ((2 + 2)!))
29              0 + (5 + ((2 + 2)!))
30              0 + ((5!) / (2 + 2))
31              (0!) - ((√(2 + 2)) ^ 5)
32              0 + ((√(2 + 2)) ^ 5)
33              (0!) + ((√(2 + 2)) ^ 5)
34              0 + (2 + (2 ^ 5))
35              0 + ((2 + 5) / .2)
36              0 + (((5 - 2)!) ^ 2)
37              (0!) + (((5 - 2)!) ^ 2)
38              2 - (2 / .05)
40              ((0!) + (2 + 5)) / .2
41              5 + ((((0!) + 2)!) ^ 2)
42              2 + (2 / .05)
44              2 * (2 - ((5 - (0!))!))
45              ((0!) - (2 * 5)) / .2
46              2 * ((0!) - (.2 * (5!)))
47              (0!) - (((2 + 2)!) / .5)
48              0 + (((2 + 2)!) / .5)
49              0 + ((2 + 5) ^ 2)
50              0 + (5 / (.2 / 2))
51              (0!) + (5 / (.2 / 2))
52              2 * ((0!) + (5 / .2))
53              2 - ((√((0!) + (5!))) / .2)
54              (.2 - (√((0!) + (5!)))) / .2
55              ((0!) + (2 * 5)) / .2
56              (5!) - (2 ^ (((0!) + 2)!))
57              (0!) + (2 - ((5!) / 2))
58              0 + (2 - ((5!) / 2))
59              0 + ((2 - (5!)) / 2)
60              0 + ((5!) / (√(2 + 2)))
